categoria,serie,tipo,fecha,valor,porcentaje
generacion,Turbina de gas,Turbina de gas,2023-01-03 23:00:00+00:00,1199.927,0.0009164000467636843
generacion,Turbina de vapor,Turbina de vapor,2023-01-03 23:00:00+00:00,4146.032,0.0031663792203056786
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-03 23:00:00+00:00,58475.944,0.044658848260061314
generacion,Nuclear,Nuclear,2023-01-03 23:00:00+00:00,170571.144,0.13026742821699583
generacion,Residuos renovables,Residuos renovables,2023-01-03 23:00:00+00:00,2635.204,0.002012539986875742
generacion,Ciclo combinado,Ciclo combinado,2023-01-03 23:00:00+00:00,120461.966,0.09199838929838679
generacion,Hidráulica,Hidráulica,2023-01-03 23:00:00+00:00,139503.134,0.1065403799741822
generacion,Eólica,Eólica,2023-01-03 23:00:00+00:00,68741.914,0.05249910469905684
generacion,Generación total,Generación total,2023-01-03 23:00:00+00:00,654696.06,1.0
generacion,Hidroeólica,Hidroeólica,2023-01-04 23:00:00+00:00,4.351,3.287607958044725e-06
generacion,Solar fotovoltaica,Solar fotovoltaica,2023-01-04 23:00:00+00:00,58507.717,0.04420832820414356
generacion,Turbina de vapor,Turbina de vapor,2023-01-04 23:00:00+00:00,4247.436,0.0032093551815411754
generacion,Otras renovables,Otras renovables,2023-01-04 23:00:00+00:00,10780.009,0.008145355866741843
generacion,Generación total,Generación total,2023-01-04 23:00:00+00:00,661727.319,1.0
generacion,Turbina de gas,Turbina de gas,2023-01-04 23:00:00+00:00,1096.867,0.0008287907786983782
generacion,Ciclo combinado,Ciclo combinado,2023-01-04 23:00:00+00:00,150802.315,0.11394596434970522
generacion,Motores diésel,Motores diésel,2023-01-04 23:00:00+00:00,6640.317,0.0050174118623626
generacion,Nuclear,Nuclear,2023-01-04 23:00:00+00:00,170674.002,0.12896097614491872
generacion,Residuos no renovables,Residuos no renovables,2023-01-04 23:00:00+00:00,3999.2065,0.0030217934073234177
generacion,Eólica,Eólica,2023-01-04 23:00:00+00:00,45530.964,0.03440311642929163
generacion,Residuos renovables,Residuos renovables,2023-01-04 23:00:00+00:00,2650.5345,0.002002739212887175
generacion,Cogeneración,Cogeneración,2023-01-04 23:00:00+00:00,48398.689,0.03656996440251245
generacion,Hidráulica,Hidráulica,2023-01-04 23:00:00+00:00,144485.216,0.109172775440453
generacion,Solar térmica,Solar térmica,2023-01-04 23:00:00+00:00,5249.039,0.003966164649158153
generacion,Carbón,Carbón,2023-01-04 23:00:00+00:00,8660.656,0.006543976462304711
generacion,Hidroeólica,Hidroeólica,2023-01-05 23:00:00+00:00,13.281,1.0685541542022397e-05
generacion,Otras renovables,Otras renovables,2023-01-05 23:00:00+00:00,11181.257,0.008996143826935374
generacion,Residuos renovables,Residuos renovables,2023-01-05 23:00:00+00:00,2636.081,0.002120921092811983
generacion,Turbina de vapor,Turbina de vapor,2023-01-05 23:00:00+00:00,3595.164,0.0028925739230768323
