fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,pintMax,horaPIntMax
2023-01-18,8025,ALACANT/ALICANTE,ALICANTE,81,"11,2","0,0","8,3",07:10,"14,1",12:50,32,"3,6","19,4",09:30,"8,8","1005,1",23,"992,7",03,36,55,00:00,23,18:00,"0,0",
2023-01-19,8025,ALACANT/ALICANTE,ALICANTE,81,"11,2","0,0","6,9",04:10,"15,6",15:10,29,"3,9","15,0",00:30,"9,0","1011,7",10,"1003,6",24,35,51,23:59,24,15:30,"0,0",
2023-01-20,8025,ALACANT/ALICANTE,ALICANTE,81,"14,6","0,0","8,3",23:59,"20,9",13:00,30,"2,8","15,8",03:40,"7,8","1010,1",20,"1003,0",01,49,74,23:59,25,14:00,"0,0",
2023-01-21,8025,ALACANT/ALICANTE,ALICANTE,81,"9,9","0,0","5,7",05:40,"14,1",11:20,34,"1,7","9,4",22:40,"9,2","1010,5",24,"1007,1",05,58,81,Varias,15,22:20,"0,0",
2023-01-22,8025,ALACANT/ALICANTE,ALICANTE,81,"7,6","0,0","1,7",23:59,"13,4",14:20,35,"1,7","10,0",01:40,"9,3","1014,0",11,"1010,4",02,32,52,21:10,18,14:00,"0,0",
2023-01-23,8025,ALACANT/ALICANTE,ALICANTE,81,"7,2","0,0","1,7",00:00,"12,7",13:10,34,"2,2","7,5",08:20,"8,6","1012,2",24,"1009,3",15,39,62,19:10,24,11:50,"0,0",
2023-01-24,8025,ALACANT/ALICANTE,ALICANTE,81,"6,8","0,0","1,2",04:30,"12,5",15:10,06,"2,2","6,4",14:10,"3,5","1015,8",21,"1012,0",05,55,73,08:30,46,11:30,"0,0",
2023-01-25,8025,ALACANT/ALICANTE,ALICANTE,81,"8,9","0,0","4,7",23:40,"13,1",14:20,02,"2,5","11,9",11:30,"6,1","1015,0",00,"1011,6",24,56,66,Varias,44,14:10,"0,0",
2023-01-26,8025,ALACANT/ALICANTE,ALICANTE,81,"8,4","0,0","2,9",23:50,"13,9",13:50,32,"1,7","6,7",04:00,"8,3","1011,6",00,"1004,5",15,48,74,23:10,32,13:10,"0,0",
2023-01-27,8025,ALACANT/ALICANTE,ALICANTE,81,"8,4","0,0","2,4",01:30,"14,3",13:30,99,"1,7","6,1",Varias,"9,6","1006,4",23,"1003,0",Varias,56,75,00:40,34,11:10,"0,0",
2023-01-28,8025,ALACANT/ALICANTE,ALICANTE,81,"8,2","0,0","2,3",05:30,"14,1",12:30,18,"1,9","7,2",13:40,"9,1","1011,5",24,"1006,2",00,58,80,23:59,38,12:30,"0,0",
2023-01-29,8025,ALACANT/ALICANTE,ALICANTE,81,"7,8","0,4","2,9",01:40,"12,8",11:40,05,"2,5","8,9",18:30,"5,7","1017,9",23,"1011,3",Varias,61,85,Varias,44,11:40,"1,2",Varias
2023-01-30,8025,ALACANT/ALICANTE,ALICANTE,81,"7,6","0,0","2,0",06:40,"13,2",13:00,13,"1,7","5,8",14:50,"9,7","1020,0",11,"1017,2",04,67,87,03:20,50,12:00,"0,0",
2023-01-31,8025,ALACANT/ALICANTE,ALICANTE,81,"8,8","0,0","2,1",07:50,"15,5",12:50,06,"1,7","5,6",14:00,"9,7","1018,8",00,"1016,3",05,54,81,22:20,27,11:00,"0,0",
