fecha,valor,geo_name
2022-12-31 23:00:00+00:00,7054.0,Península
2022-12-31 23:05:00+00:00,6702.0,Península
2022-12-31 23:10:00+00:00,6295.0,Península
2022-12-31 23:15:00+00:00,6230.0,Península
2022-12-31 23:20:00+00:00,6129.0,Península
2022-12-31 23:25:00+00:00,6124.0,Península
2022-12-31 23:30:00+00:00,5977.0,Península
2022-12-31 23:35:00+00:00,5960.0,Península
2022-12-31 23:40:00+00:00,5875.0,Península
2022-12-31 23:45:00+00:00,5899.0,Península
2022-12-31 23:50:00+00:00,5618.0,Península
2022-12-31 23:55:00+00:00,5548.0,Península
2023-01-01 00:00:00+00:00,5511.0,Península
2023-01-01 00:05:00+00:00,5471.0,Península
2023-01-01 00:10:00+00:00,5464.0,Península
2023-01-01 00:15:00+00:00,5586.0,Península
2023-01-01 00:20:00+00:00,5891.0,Península
2023-01-01 00:25:00+00:00,6011.0,Península
2023-01-01 00:30:00+00:00,6074.0,Península
2023-01-01 00:35:00+00:00,6165.0,Península
2023-01-01 00:40:00+00:00,5900.0,Península
2023-01-01 00:45:00+00:00,5730.0,Península
2023-01-01 00:50:00+00:00,5507.0,Península
2023-01-01 00:55:00+00:00,5451.0,Península
2023-01-01 01:00:00+00:00,5554.0,Península
2023-01-01 01:05:00+00:00,5591.0,Península
2023-01-01 01:10:00+00:00,5698.0,Península
2023-01-01 01:15:00+00:00,5630.0,Península
2023-01-01 01:20:00+00:00,5587.0,Península
2023-01-01 01:25:00+00:00,5607.0,Península
2023-01-01 01:30:00+00:00,5500.0,Península
2023-01-01 01:35:00+00:00,5587.0,Península
2023-01-01 01:40:00+00:00,5622.0,Península
2023-01-01 01:45:00+00:00,5599.0,Península
2023-01-01 01:50:00+00:00,5370.0,Península
2023-01-01 01:55:00+00:00,5331.0,Península
2023-01-01 02:00:00+00:00,5344.0,Península
2023-01-01 02:05:00+00:00,5776.0,Península
2023-01-01 02:10:00+00:00,5724.0,Península
2023-01-01 02:15:00+00:00,5520.0,Península
2023-01-01 02:20:00+00:00,5290.0,Península
2023-01-01 02:25:00+00:00,5330.0,Península
2023-01-01 02:30:00+00:00,5290.0,Península
2023-01-01 02:35:00+00:00,5295.0,Península
2023-01-01 02:40:00+00:00,5277.0,Península
2023-01-01 02:45:00+00:00,5206.0,Península
2023-01-01 02:50:00+00:00,5198.0,Península
2023-01-01 02:55:00+00:00,5179.0,Península
2023-01-01 03:00:00+00:00,5108.0,Península
2023-01-01 03:05:00+00:00,4964.0,Península
2023-01-01 03:10:00+00:00,4953.0,Península
2023-01-01 03:15:00+00:00,4805.0,Península
2023-01-01 03:20:00+00:00,4505.0,Península
2023-01-01 03:25:00+00:00,4517.0,Península
2023-01-01 03:30:00+00:00,4405.0,Península
2023-01-01 03:35:00+00:00,4466.0,Península
2023-01-01 03:40:00+00:00,4424.0,Península
2023-01-01 03:45:00+00:00,4411.0,Península
2023-01-01 03:50:00+00:00,4418.0,Península
2023-01-01 03:55:00+00:00,4424.0,Península
2023-01-01 04:00:00+00:00,4433.0,Península
2023-01-01 04:05:00+00:00,4417.0,Península
2023-01-01 04:10:00+00:00,4372.0,Península
2023-01-01 04:15:00+00:00,4347.0,Península
2023-01-01 04:20:00+00:00,4395.0,Península
2023-01-01 04:25:00+00:00,4440.0,Península
2023-01-01 04:30:00+00:00,4417.0,Península
2023-01-01 04:35:00+00:00,4457.0,Península
2023-01-01 04:40:00+00:00,4485.0,Península
2023-01-01 04:45:00+00:00,4436.0,Península
2023-01-01 04:50:00+00:00,4430.0,Península
2023-01-01 04:55:00+00:00,4429.0,Península
2023-01-01 05:00:00+00:00,4452.0,Península
2023-01-01 05:05:00+00:00,4382.0,Península
2023-01-01 05:10:00+00:00,4433.0,Península
2023-01-01 05:15:00+00:00,4446.0,Península
2023-01-01 05:20:00+00:00,4517.0,Península
